1	1	5
1	2	3
1	3	4
1	4	3
1	5	3
1	6	5
1	7	4
1	8	1
1	9	5
1	10	3
1	11	2
1	12	5
1	13	5
1	14	5
1	15	5
1	16	5
1	17	3
1	18	4
1	19	5
1	20	4
1	21	1
1	22	4
1	23	4
1	24	3
1	25	4
1	26	3
1	27	2
1	28	4
1	29	1
1	30	3
1	31	3
1	32	5
1	33	4
1	34	2
1	35	1
1	36	2
1	37	2
1	38	3
1	39	4
1	40	3
1	41	2
1	42	5
1	43	4
1	44	5
1	45	5
1	46	4
1	47	4
1	48	5
1	49	3
1	50	5
2	1	4
2	10	2
2	13	4
2	14	4
2	19	3
2	25	4
2	50	5
4	11	4
4	50	5
5	1	4
5	2	3
5	17	4
5	21	3
5	24	4
5	25	3
5	29	4
5	40	4
5	42	5
5	50	4
6	1	4
6	7	2
6	8	4
6	9	4
6	12	4
6	13	2
6	14	5
6	15	3
6	19	4
6	21	3
6	22	3
6	23	4
6	28	2
6	32	4
6	47	3
6	50	4
7	4	5
7	7	5
7	8	5
7	9	5
7	10	4
7	11	3
7	12	5
7	22	5
7	23	3
7	25	3
7	27	4
7	28	5
7	29	3
7	31	4
7	32	4
7	39	5
7	44	5
7	47	5
7	50	5
8	7	3
8	11	3
8	22	5
8	50	5
9	6	5
9	7	4
9	50	5
10	1	4
10	4	4
10	7	4
10	9	4
10	11	4
10	12	5
10	13	3
10	16	4
10	22	5
10	23	5
10	32	4
10	33	4
10	40	4
10	48	4
10	50	5
